,Rose Pink,Lavender Tint,Medium Bastard Amber,Pale Yellow,Dark Salmon,Pale Amber Gold,Medium Yellow,Straw Tint,Deep Straw,Surprise Peach,Fire,Medium Amber,Gold Amber,Dark Amber,Scarlet,Sunset Red,Bright Red,Medium Red,Plasa Red,Light Pink,Medium Pink,Pink Carnation,Dark Magenta,Rose Purple,Light Lavender,Paler Lavender,Lavender,Mist Blue,Pale Blue,Sky Blue
380,0.6527,0.853,0.6125,0.6957,0.1607,0.5116,0.0046,0.3976,0.0221,0.153,0.0173,0.2541,0.0341,0.0047,0.125,0.0637,0.0011,0.0054,0,0.7278,0.6204,0.8215,0.0929,0.3255,0.5546,0.7809,0.3587,0.629,0.6311,0.2349
390,0.677,0.872,0.5814,0.6625,0.1695,0.4732,0.0035,0.3559,0.0062,0.1766,0.012,0.2579,0.0281,0.0037,0.1359,0.0504,0.0006,0.0025,0,0.7326,0.6368,0.8408,0.0916,0.3536,0.5903,0.8021,0.3975,0.7245,0.7222,0.2999
400,0.7103,0.8767,0.5429,0.6036,0.1745,0.4446,0.0012,0.3352,0.001,0.1849,0.0057,0.2362,0.0242,0.004,0.1472,0.041,0.001,0.0002,0,0.7475,0.6374,0.8572,0.0809,0.3796,0.6185,0.8167,0.4428,0.7982,0.8066,0.3864
410,0.7302,0.8968,0.5118,0.5479,0.1798,0.4294,0.0008,0.3155,0.0005,0.1746,0.0056,0.1968,0.021,0.0043,0.1622,0.0376,0.0018,0.0004,0.0003,0.7542,0.6593,0.8662,0.0708,0.3968,0.6592,0.8364,0.4969,0.8451,0.8577,0.4773
420,0.7329,0.9046,0.4679,0.5027,0.1806,0.4281,0.001,0.3107,0.0011,0.1507,0.0063,0.1452,0.0175,0.0034,0.1703,0.039,0.0017,0,0.0003,0.7547,0.6455,0.8718,0.0587,0.414,0.6713,0.8593,0.5442,0.8676,0.8805,0.5741
430,0.7591,0.9109,0.4524,0.4807,0.1738,0.4136,0.0017,0.315,0.0007,0.1231,0.0074,0.0984,0.0151,0.0027,0.161,0.0443,0.0022,0.0001,0.0001,0.7677,0.6417,0.8789,0.0505,0.4323,0.7123,0.8621,0.602,0.9049,0.9122,0.6692
440,0.7423,0.9088,0.4407,0.4991,0.1594,0.3986,0.0017,0.3046,0.0007,0.0971,0.0084,0.0628,0.0126,0.0018,0.1317,0.0493,0.0019,0,0.0006,0.7483,0.631,0.8764,0.0483,0.4588,0.7336,0.8904,0.6352,0.8948,0.9093,0.7526
450,0.7414,0.9196,0.4424,0.5404,0.1369,0.3987,0.0019,0.3081,0.0008,0.0755,0.0087,0.0414,0.0112,0.0016,0.095,0.0502,0.0013,0,0.0003,0.7244,0.589,0.8717,0.0494,0.4634,0.7339,0.9018,0.6459,0.927,0.9265,0.7786
460,0.7097,0.908,0.4728,0.6158,0.113,0.4084,0.0026,0.3205,0.0016,0.06,0.0086,0.0294,0.0097,0.001,0.0609,0.0495,0.0007,0,0,0.7204,0.5595,0.8509,0.0515,0.4619,0.7369,0.8795,0.6003,0.9284,0.922,0.7565
470,0.6345,0.8912,0.4982,0.7344,0.0929,0.4359,0.0083,0.3399,0.0064,0.0519,0.0087,0.0244,0.0094,0.0009,0.0368,0.05,0.0004,0.0015,0,0.687,0.5208,0.8171,0.0553,0.4223,0.7114,0.8885,0.5445,0.9043,0.9151,0.7199
