,Dark skin,Light skin,Blue sky,Foliage,Blue flower,Bluish green,Orange,Purplish blue,Moderate red,Purple,Yellow green,Orange yellow,Blue,Green,Red,Yellow,Magenta,Cyan,White,Neutral 8,Neutral 6.5,Neutral 5,Neutral 3.5,Black
380,0.0592,0.1005875,0.112425,0.056675,0.1260125,0.1168125,0.0529,0.1036,0.0872875,0.08695,0.059525,0.0547,0.0568625,0.0557875,0.050575,0.051375,0.122675,0.1000875,0.1447875,0.13475,0.1221625,0.0963375,0.06646249,0.03055
390,0.0635,0.1326875,0.1632,0.060475,0.1868375,0.1662375,0.0553125,0.148075,0.1105375,0.12105,0.06385,0.06035,0.0625375,0.05845,0.0513625,0.051875,0.178425,0.1383875,0.215425,0.2027125,0.1789125,0.1264625,0.07705,0.0319
400,0.0654375,0.170125,0.246725,0.0627625,0.2955125,0.2457875,0.0565375,0.2154375,0.131175,0.1651625,0.0662625,0.064025,0.07498749,0.0601625,0.05085,0.051825,0.2772125,0.198675,0.3841875,0.346525,0.2683,0.160625,0.085375,0.0326875
410,0.0663125,0.1904,0.3175625,0.0639,0.3935875,0.3095875,0.057425,0.2734,0.1386125,0.194675,0.0678375,0.0658875,0.1132125,0.0611875,0.0506875,0.0526,0.3559375,0.252525,0.6333,0.5110125,0.3365625,0.1805875,0.0899375,0.033275
420,0.0659375,0.19355,0.3373875,0.0636,0.4282875,0.3340375,0.0572125,0.3169,0.1363875,0.1999625,0.0679875,0.06585,0.19115,0.0615375,0.0500875,0.0527875,0.37485,0.2765,0.8067375,0.5823,0.3549625,0.1854375,0.0907375,0.0331
430,0.065475,0.1953,0.3405,0.0635125,0.4362625,0.3481875,0.0572,0.354675,0.133775,0.189775,0.0690375,0.0659,0.2510875,0.0625375,0.0497875,0.0537,0.3679,0.2988375,0.8538125,0.5948625,0.3586375,0.188425,0.091725,0.033125
440,0.065075,0.1994,0.3398375,0.0636875,0.4380875,0.36355,0.0573375,0.38555,0.1318625,0.1695,0.07122499,0.066225,0.290625,0.0645375,0.0494,0.055225,0.3460625,0.329825,0.8610875,0.5985625,0.362025,0.19185,0.0930625,0.03295
450,0.064875,0.2079625,0.3336,0.06405,0.436075,0.3852875,0.0576375,0.4011,0.1295625,0.1467375,0.0759125,0.067075,0.315975,0.0686375,0.048975,0.058625,0.3177125,0.365925,0.8657875,0.600575,0.363875,0.1936875,0.0935125,0.03265
460,0.0646125,0.2239,0.323225,0.0643125,0.4273875,0.4191875,0.0578875,0.3943,0.1259,0.1247125,0.0856625,0.0678125,0.309475,0.0764875,0.0485125,0.0658625,0.2871625,0.4012,0.8717625,0.5996375,0.36225,0.192775,0.0927,0.032325
470,0.064425,0.2517625,0.30925,0.06462499,0.410325,0.46545,0.0584125,0.36795,0.1208,0.1054375,0.105075,0.0687125,0.2804625,0.0919375,0.0477875,0.081,0.2586,0.439725,0.8786875,0.5974625,0.3592375,0.1909375,0.0916375,0.0321375
